League Name,Season ID,Season Year
USA MLS,1,2016
USA MLS,16,2015
USA MLS,23,2014
USA MLS,24,2013
USA MLS,163,2017
USA MLS,1076,2018
USA MLS,1846,2019
USA MLS,4227,2012
USA MLS,4235,2011
USA MLS,4241,2010
USA MLS,4473,2020
USA MLS,5674,2021
USA MLS,6969,2022
USA MLS,8777,2023
USA MLS,10977,2024
USA MLS,13973,2025
Scotland Premiership,2,20162017
Scotland Premiership,164,20172018
Scotland Premiership,167,20152016
Scotland Premiership,168,20142015
Scotland Premiership,169,20132014
Scotland Premiership,223,20122013
Scotland Premiership,1600,20182019
Scotland Premiership,2361,20192020
Scotland Premiership,4478,20202021
Scotland Premiership,5992,20212022
Scotland Premiership,7494,20222023
Scotland Premiership,9636,20232024
Scotland Premiership,12455,20242025
Germany Bundesliga,3,20162017
Germany Bundesliga,4,20152016
Germany Bundesliga,5,20142015
Germany Bundesliga,7,20132014
Germany Bundesliga,177,20172018
Germany Bundesliga,1636,20182019
Germany Bundesliga,4105,20122013
Germany Bundesliga,4123,20112012
Germany Bundesliga,4133,20102011
Germany Bundesliga,4140,20092010
Germany Bundesliga,4392,20192020
Germany Bundesliga,4624,20082009
Germany Bundesliga,4628,20072008
Germany Bundesliga,4629,20062007
Germany Bundesliga,4673,20202021
Germany Bundesliga,6192,20212022
Germany Bundesliga,7664,20222023
Germany Bundesliga,9655,20232024
Germany Bundesliga,12529,20242025
Europe UEFA Champions League,6,20162017
Europe UEFA Champions League,157,20152016
Europe UEFA Champions League,158,20142015
Europe UEFA Champions League,159,20132014
Europe UEFA Champions League,247,20172018
Europe UEFA Champions League,1534,20182019
Europe UEFA Champions League,2202,20192020
Europe UEFA Champions League,4053,20122013
Europe UEFA Champions League,4062,20112012
Europe UEFA Champions League,4071,20102011
Europe UEFA Champions League,4081,20092010
Europe UEFA Champions League,4655,20202021
Europe UEFA Champions League,5977,20212022
Europe UEFA Champions League,7455,20222023
Europe UEFA Champions League,9543,20232024
Europe UEFA Champions League,12321,20242025
Malaysia Super League,8,2016
Malaysia Super League,15,2017
Malaysia Super League,992,2018
Malaysia Super League,1859,2019
Malaysia Super League,3213,2015
Malaysia Super League,3218,2014
Malaysia Super League,3693,2020
Malaysia Super League,5624,2021
Malaysia Super League,7044,2022
Malaysia Super League,8939,2023
Malaysia Super League,11438,2024
England Premier League,9,20162017
England Premier League,10,20152016
England Premier League,11,20142015
England Premier League,12,20132014
England Premier League,161,20172018
England Premier League,246,20122013
England Premier League,1625,20182019
England Premier League,2012,20192020
England Premier League,3119,20112012
England Premier League,3121,20102011
England Premier League,3125,20092010
England Premier League,3131,20082009
England Premier League,3137,20072008
England Premier League,4759,20202021
England Premier League,6135,20212022
England Premier League,7704,20222023
England Premier League,9660,20232024
England Premier League,12325,20242025
Portugal Liga NOS,13,20162017
Portugal Liga NOS,14,20152016
Portugal Liga NOS,17,20142015
Portugal Liga NOS,18,20132014
Portugal Liga NOS,173,20172018
Portugal Liga NOS,1593,20182019
Portugal Liga NOS,2321,20192020
Portugal Liga NOS,4225,20122013
Portugal Liga NOS,4232,20112012
Portugal Liga NOS,4238,20102011
Portugal Liga NOS,4885,20202021
Portugal Liga NOS,6117,20212022
Portugal Liga NOS,7731,20222023
Portugal Liga NOS,9984,20232024
Portugal Liga NOS,12931,20242025
Turkey Süper Lig,19,20162017
Turkey Süper Lig,20,20152016
Turkey Süper Lig,21,20142015
Turkey Süper Lig,175,20172018
Turkey Süper Lig,1614,20182019
Turkey Süper Lig,2648,20192020
Turkey Süper Lig,4840,20202021
Turkey Süper Lig,6125,20212022
Turkey Süper Lig,7768,20222023
Turkey Süper Lig,9913,20232024
Turkey Süper Lig,12641,20242025
England Championship,22,20162017
England Championship,25,20152016
England Championship,26,20142015
England Championship,27,20132014
England Championship,165,20172018
England Championship,1624,20182019
England Championship,2187,20192020
England Championship,3141,20122013
England Championship,3143,20112012
England Championship,3146,20102011
England Championship,3147,20092010
England Championship,4912,20202021
England Championship,6089,20212022
England Championship,7593,20222023
England Championship,8031,20082009
England Championship,9663,20232024
England Championship,12451,20242025
England EFL League One,28,20162017
England EFL League One,29,20152016
England EFL League One,30,20142015
England EFL League One,31,20132014
England EFL League One,166,20172018
England EFL League One,1564,20182019
England EFL League One,2191,20192020
England EFL League One,3950,20122013
England EFL League One,3951,20092010
England EFL League One,3952,20112012
England EFL League One,4845,20202021
England EFL League One,4923,20102011
England EFL League One,6017,20212022
England EFL League One,7570,20222023
England EFL League One,9582,20232024
England EFL League One,12446,20242025
England EFL League Two,32,20162017
England EFL League Two,33,20152016
England EFL League Two,170,20172018
England EFL League Two,1574,20182019
England EFL League Two,2192,20192020
England EFL League Two,4844,20202021
England EFL League Two,6015,20212022
England EFL League Two,7574,20222023
England EFL League Two,9581,20232024
England EFL League Two,12422,20242025
Spain La Liga,34,20162017
Spain La Liga,35,20152016
Spain La Liga,36,20142015
Spain La Liga,37,20132014
Spain La Liga,38,20122013
Spain La Liga,171,20172018
Spain La Liga,1677,20182019
Spain La Liga,2319,20192020
Spain La Liga,3631,20112012
Spain La Liga,3632,20102011
Spain La Liga,3636,20092010
Spain La Liga,3637,20082009
Spain La Liga,4944,20202021
Spain La Liga,6211,20212022
Spain La Liga,7665,20222023
Spain La Liga,9665,20232024
Spain La Liga,12316,20242025
Spain Segunda División,39,20162017
Spain Segunda División,40,20152016
Spain Segunda División,41,20142015
Spain Segunda División,42,20132014
Spain Segunda División,43,20122013
Spain Segunda División,172,20172018
Spain Segunda División,1670,20182019
Spain Segunda División,2415,20192020
Spain Segunda División,4167,20112012
Spain Segunda División,4245,20102011
Spain Segunda División,4249,20092010
Spain Segunda División,4842,20202021
Spain Segunda División,6120,20212022
Spain Segunda División,7592,20222023
Spain Segunda División,9675,20232024
Spain Segunda División,12467,20242025
Norway Eliteserien,44,2016
Norway Eliteserien,45,2015
Norway Eliteserien,46,2017
Norway Eliteserien,993,2018
Norway Eliteserien,1839,2019
Norway Eliteserien,3695,2020
Norway Eliteserien,4224,2014
Norway Eliteserien,4231,2013
Norway Eliteserien,4237,2012
Norway Eliteserien,4242,2011
Norway Eliteserien,4244,2010
Norway Eliteserien,5496,2021
Norway Eliteserien,7048,2022
Norway Eliteserien,8739,2023
Norway Eliteserien,10976,2024
Norway Eliteserien,13987,2025
Turkey 1. Lig,47,20162017
Turkey 1. Lig,48,20152016
Turkey 1. Lig,49,20142015
Turkey 1. Lig,50,20132014
Turkey 1. Lig,176,20172018
Turkey 1. Lig,1615,20182019
Turkey 1. Lig,2649,20192020
Turkey 1. Lig,4908,20202021
Turkey 1. Lig,6126,20212022
Turkey 1. Lig,7770,20222023
Turkey 1. Lig,9914,20232024
Turkey 1. Lig,12928,20242025
Netherlands Eredivisie,51,20162017
Netherlands Eredivisie,52,20152016
Netherlands Eredivisie,53,20142015
Netherlands Eredivisie,54,20132014
Netherlands Eredivisie,178,20172018
Netherlands Eredivisie,1585,20182019
Netherlands Eredivisie,2272,20192020
Netherlands Eredivisie,4226,20122013
Netherlands Eredivisie,4234,20112012
Netherlands Eredivisie,4746,20202021
Netherlands Eredivisie,5951,20212022
Netherlands Eredivisie,7482,20222023
Netherlands Eredivisie,9653,20232024
Netherlands Eredivisie,12322,20242025
Netherlands Eerste Divisie,55,20162017
Netherlands Eerste Divisie,56,20152016
Netherlands Eerste Divisie,57,20142015
Netherlands Eerste Divisie,179,20172018
Netherlands Eerste Divisie,1584,20182019
Netherlands Eerste Divisie,2273,20192020
Netherlands Eerste Divisie,4228,20132014
Netherlands Eerste Divisie,4236,20122013
Netherlands Eerste Divisie,4243,20112012
Netherlands Eerste Divisie,4246,20102011
Netherlands Eerste Divisie,4247,20092010
Netherlands Eerste Divisie,4748,20202021
Netherlands Eerste Divisie,5950,20212022
Netherlands Eerste Divisie,7484,20222023
Netherlands Eerste Divisie,9654,20232024
Netherlands Eerste Divisie,12317,20242025
Finland Veikkausliiga,58,2017
Finland Veikkausliiga,59,2016
Finland Veikkausliiga,60,2014
Finland Veikkausliiga,72,2015
Finland Veikkausliiga,1191,2018
Finland Veikkausliiga,1874,2019
Finland Veikkausliiga,3645,2020
Finland Veikkausliiga,5477,2021
Finland Veikkausliiga,7120,2022
Finland Veikkausliiga,8935,2023
Finland Veikkausliiga,11120,2024
Finland Ykkösliiga,61,2017
Finland Ykkösliiga,62,2016
Finland Ykkösliiga,63,2015
Finland Ykkösliiga,64,2014
Finland Ykkösliiga,1192,2018
Finland Ykkösliiga,1875,2019
Finland Ykkösliiga,3818,2020
Finland Ykkösliiga,5478,2021
Finland Ykkösliiga,7103,2022
Finland Ykkösliiga,8945,2023
Finland Ykkösliiga,11167,2024
France Ligue 1,65,20162017
France Ligue 1,66,20142015
France Ligue 1,67,20132014
France Ligue 1,75,20152016
France Ligue 1,180,20172018
France Ligue 1,1508,20182019
France Ligue 1,2392,20192020
France Ligue 1,4127,20122013
France Ligue 1,4136,20112012
France Ligue 1,4193,20102011
France Ligue 1,4199,20092010
France Ligue 1,4505,20202021
France Ligue 1,6019,20212022
France Ligue 1,7500,20222023
France Ligue 1,9674,20232024
France Ligue 1,12337,20242025
Italy Serie A,68,20162017
Italy Serie A,69,20152016
Italy Serie A,70,20142015
Italy Serie A,71,20132014
Italy Serie A,182,20172018
Italy Serie A,1680,20182019
Italy Serie A,2588,20192020
Italy Serie A,3940,20112012
Italy Serie A,3941,20082009
Italy Serie A,3942,20092010
Italy Serie A,3945,20122013
Italy Serie A,4889,20202021
Italy Serie A,6198,20212022
Italy Serie A,7608,20222023
Italy Serie A,9697,20232024
Italy Serie A,11181,20102011
Italy Serie A,12530,20242025
France Ligue 2,73,20162017
France Ligue 2,74,20152016
France Ligue 2,76,20142015
France Ligue 2,181,20172018
France Ligue 2,1579,20182019
France Ligue 2,2396,20192020
France Ligue 2,4164,20132014
France Ligue 2,4185,20122013
France Ligue 2,4645,20202021
France Ligue 2,6018,20212022
France Ligue 2,7501,20222023
France Ligue 2,9621,20232024
France Ligue 2,12338,20242025
Italy Serie B,77,20162017
Italy Serie B,78,20152016
Italy Serie B,79,20142015
Italy Serie B,80,20132014
Italy Serie B,81,20122013
Italy Serie B,183,20172018
Italy Serie B,1749,20182019
Italy Serie B,2642,20192020
Italy Serie B,3946,20092010
Italy Serie B,3948,20102011
Italy Serie B,3949,20112012
Italy Serie B,4972,20202021
Italy Serie B,6205,20212022
Italy Serie B,7864,20222023
Italy Serie B,9808,20232024
Italy Serie B,12621,20242025
Belgium Pro League,82,20162017
Belgium Pro League,112,20152016
Belgium Pro League,184,20172018
Belgium Pro League,1537,20182019
Belgium Pro League,2262,20192020
Belgium Pro League,4567,20202021
Belgium Pro League,6079,20212022
Belgium Pro League,7544,20222023
Belgium Pro League,9577,20232024
Belgium Pro League,12137,20242025
Germany 2. Bundesliga,83,20162017
Germany 2. Bundesliga,84,20152016
Germany 2. Bundesliga,85,20142015
Germany 2. Bundesliga,188,20172018
Germany 2. Bundesliga,1578,20182019
Germany 2. Bundesliga,4131,20132014
Germany 2. Bundesliga,4168,20122013
Germany 2. Bundesliga,4195,20112012
Germany 2. Bundesliga,4200,20102011
Germany 2. Bundesliga,4388,20192020
Germany 2. Bundesliga,4676,20202021
Germany 2. Bundesliga,6020,20212022
Germany 2. Bundesliga,7499,20222023
Germany 2. Bundesliga,9656,20232024
Germany 2. Bundesliga,12528,20242025
Germany 3. Liga,86,20162017
Germany 3. Liga,87,20152016
Germany 3. Liga,88,20142015
Germany 3. Liga,189,20172018
Germany 3. Liga,1563,20182019
Germany 3. Liga,4186,20132014
Germany 3. Liga,4386,20192020
Germany 3. Liga,4841,20202021
Germany 3. Liga,6041,20212022
Germany 3. Liga,7591,20222023
Germany 3. Liga,9741,20232024
Germany 3. Liga,12623,20242025
Austria Bundesliga,89,20162017
Austria Bundesliga,90,20152016
Austria Bundesliga,91,20142015
Austria Bundesliga,92,20132014
Austria Bundesliga,190,20172018
Austria Bundesliga,1556,20182019
Austria Bundesliga,4384,20192020
Austria Bundesliga,4861,20202021
Austria Bundesliga,6008,20212022
Austria Bundesliga,7890,20222023
Austria Bundesliga,9954,20232024
Austria Bundesliga,12472,20242025
Austria 2. Liga,93,20162017
Austria 2. Liga,94,20152016
Austria 2. Liga,95,20142015
Austria 2. Liga,191,20172018
Austria 2. Liga,1550,20182019
Austria 2. Liga,2244,20192020
Austria 2. Liga,4860,20202021
Austria 2. Liga,6007,20212022
Austria 2. Liga,7584,20222023
Austria 2. Liga,9641,20232024
Austria 2. Liga,12478,20242025
Australia A-League,96,20162017
Australia A-League,97,20152016
Australia A-League,98,20142015
Australia A-League,99,20132014
Australia A-League,192,20172018
Australia A-League,1555,20182019
Australia A-League,2640,20192020
Australia A-League,4303,20122013
Australia A-League,4310,20112012
